Date,Category,Amount,Payment_Mode,Description
2024-10-04,Food,1200,Credit Card,Diwali dinner party
2024-10-05,Shopping,12999,Credit Card,Amazon - Diwali shopping spree
2024-10-06,Entertainment,199,UPI,Netflix
2024-10-07,Food,380,UPI,BigBasket festive
2024-10-08,Healthcare,500,Cash,Pharmacy
2024-10-09,Travel,600,UPI,Uber Diwali travel
2024-10-10,Food,950,Credit Card,Diwali sweet box orders
2024-10-11,Bills,799,Net Banking,Internet October
2024-10-12,Shopping,8499,Credit Card,Flipkart Big Billion sale
2024-10-13,Food,280,Cash,Mithai shop
2024-10-14,Entertainment,1200,UPI,Diwali party and crackers
2024-10-15,Other,5000,Net Banking,Diwali gifts for family
2024-10-16,Food,650,UPI,Zomato celebration
2024-10-17,Travel,180,UPI,Metro
2024-10-18,Bills,12000,Net Banking,House rent October
2024-10-19,Shopping,4999,Credit Card,Furniture - small table
2024-10-20,Food,420,UPI,Swiggy
2024-10-21,Healthcare,2000,Credit Card,Post-festival checkup
2024-10-22,Food,190,Cash,Snack shop
2024-10-23,Travel,220,UPI,Rapido
2024-10-24,Entertainment,350,UPI,Bowling
2024-10-25,Food,570,UPI,Dinner
2024-10-26,Bills,450,UPI,Gas
2024-10-27,Shopping,2999,UPI,Diwali sale clothes
2024-10-28,Food,310,Cash,Grocery
2024-10-29,Travel,150,Cash,Auto
2024-10-30,Food,480,UPI,Zomato
2024-10-31,Other,800,Cash,Temple donation
2024-11-01,Food,370,UPI,Swiggy
2024-11-02,Bills,1550,Net Banking,Electricity November
2024-11-03,Travel,200,UPI,Ola
2024-11-04,Food,290,Cash,Mess
2024-11-05,Shopping,3499,Credit Card,Amazon - winter jacket
2024-11-06,Healthcare,750,Cash,Flu treatment
2024-11-07,Entertainment,199,UPI,Netflix
2024-11-08,Food,520,UPI,Zomato
2024-11-09,Travel,280,UPI,Uber
2024-11-10,Food,680,Credit Card,North Indian restaurant
2024-11-11,Bills,799,Net Banking,Internet November
2024-11-12,Shopping,1999,UPI,Flipkart - blanket set
2024-11-13,Food,110,Cash,Tea
2024-11-14,Entertainment,450,UPI,Stand-up comedy show
2024-11-15,Travel,160,Cash,Auto
2024-11-16,Food,490,UPI,Swiggy dinner
2024-11-17,Healthcare,1100,Credit Card,ENT specialist
2024-11-18,Food,340,Cash,Grocery
2024-11-19,Bills,12000,Net Banking,House rent November
2024-11-20,Other,1500,Net Banking,Professional membership
2024-11-21,Food,600,UPI,Birthday party food
2024-11-22,Travel,350,UPI,Ola outstation
2024-11-23,Shopping,7499,Credit Card,Winter sale - multiple items
2024-11-24,Food,180,Cash,Momos
2024-11-25,Entertainment,300,UPI,Game zone
2024-11-26,Food,430,UPI,Pizza order
2024-11-27,Bills,450,UPI,Gas
2024-11-28,Travel,190,UPI,Metro
2024-11-29,Food,560,UPI,Family dinner
2024-11-30,Healthcare,420,Cash,Medicine
2024-12-01,Food,390,UPI,Swiggy
2024-12-02,Travel,250,UPI,Ola to event
2024-12-03,Bills,1650,Net Banking,Electricity December
2024-12-04,Food,450,Cash,Restaurant
2024-12-05,Shopping,9999,Credit Card,Amazon - Christmas and year-end shopping
2024-12-06,Entertainment,199,UPI,Netflix
2024-12-07,Food,580,UPI,Zomato weekend
2024-12-08,Healthcare,850,Cash,Skin specialist
2024-12-09,Travel,500,UPI,Uber long trip
2024-12-10,Food,720,Credit Card,Christmas party dinner
2024-12-11,Bills,799,Net Banking,Internet December
2024-12-12,Shopping,4599,Credit Card,Flipkart - year end deals
2024-12-13,Food,160,Cash,Street food
2024-12-14,Entertainment,900,UPI,New Year eve party advance
2024-12-15,Travel,300,UPI,Ola
2024-12-16,Food,510,UPI,Swiggy
2024-12-17,Healthcare,1300,Credit Card,Annual dental
2024-12-18,Food,270,Cash,Grocery
2024-12-19,Bills,12000,Net Banking,House rent December
2024-12-20,Other,3000,Net Banking,Year-end charity
2024-12-21,Food,650,UPI,Christmas dinner prep
2024-12-22,Travel,400,UPI,Uber holiday travel
2024-12-23,Shopping,5999,Credit Card,Gifts and year-end sale
2024-12-24,Food,890,Credit Card,Christmas eve dinner
2024-12-25,Entertainment,1500,UPI,Christmas party
2024-12-26,Food,350,Cash,Leftover groceries
2024-12-27,Bills,450,UPI,Gas
2024-12-28,Travel,220,UPI,Rapido
2024-12-29,Food,480,UPI,Zomato
2024-12-30,Healthcare,550,Cash,Pharmacy year-end stock
2024-12-31,Food,1100,Credit Card,New Year eve dinner
